timestamp (swe),latitude truck,longitude truck,heading truck,latitude trailer,longitude trailer,heading trailer,angle sensor,roadWheelAngle,steeringWheelAngle,heading diff,truck_sensor_x,truck_sensor_y,trailer_sensor_x,trailer_sensor_y,normalized heading trailer,normalized heading truck,kingpin_y,kingpin_x,trailer_y,trailer_x,trailer_COG_y,trailer_COG_x
2024-10-02 11:21:45.032924,57.771522738468896,12.743479606916333,-22.678280686259274,57.77143677868494,12.743546353088732,-23.14717024720135,-1.0743099474145197,0.491604883,10.009789063,0.468889560942074,107.14431402419754,106.46958285534761,101.95067306361037,97.47447819552634,27.0085855103226,27.477475071264674,104.3403213502619,106.03695435229317,97.3408374226583,101.8825544624266,92.60475510427156,104.31128312230443
2024-10-02 11:21:45.066258,57.77152273589386,12.743479606218566,-22.67698198192394,57.77143677855543,12.743546352714333,-23.14741852891264,-1.0743099474145197,0.491604883,10.009789063,0.47043654698870085,107.14406764263646,106.46943143131966,101.95064771314259,97.47448611014566,27.008337228611307,27.478773775600008,104.3401950269335,106.03665970775577,97.34084504209828,101.88252969106948,92.60462130306628,104.31100314857032
2024-10-02 11:21:45.099591,57.77152273060222,12.743479602216825,-22.6739739534992,57.77143677846475,12.7435463527997,-23.147523571175014,-1.0743099474145197,0.4914482136666667,10.009789063,0.4735496176758147,107.14346325809045,106.4692377882142,101.95064323528227,97.47447574533544,27.008232186348934,27.48178180402475,104.34005952567897,106.03594353982473,97.34083455240523,101.8825254582179,92.60448263811374,104.31029318752732
2024-10-02 11:21:45.132924,57.77152272781577,12.743479600094467,-22.673124066103274,57.77143677827587,12.743546353376834,-23.14808697967364,-1.0743099474145197,0.491369879,10.009789063,0.4749629135703657,107.14314442556856,106.46913651319825,101.95064916116645,97.47443588071904,27.00766877785031,27.482631691420675,104.33997467910639,106.0355931246138,97.34079401797048,101.88253269824378,92.60438082280972,104.30997606390589
2024-10-02 11:21:45.166258,57.77152272770127,12.7434796006648,-22.670641248991256,57.7714367779962,12.743546353183866,-23.148889120586336,-1.0743099474145197,0.491369879,10.009789063,0.4782478715950802,107.14315643804119,106.46910225565995,101.95061792641584,97.47442479835084,27.006866636937612,27.485114508532693,104.33998841745682,106.03551287444685,97.3407819819849,101.88250333448592,92.6043704028531,104.30994321222202
2024-10-02 11:21:45.199591,57.7715227276951,12.743479602466724,-22.67342964359394,57.77143677737,12.743546351937624,-23.148483275481738,-1.0743099474145197,0.491369879,10.009789063,0.47505363188779626,107.1432247342585,106.46901934274528,101.95051689299484,97.4744372486811,27.00727248204221,27.482326113930007,104.33985160174343,106.03568478884927,97.34079491479687,101.88240135443,92.60424581000974,104.3100911452068
2024-10-02 11:21:45.232924,57.771522725487365,12.743479601961399,-22.66917065731661,57.77143677733937,12.743546351140532,-23.147533120471326,-1.0743099474145197,0.491369879,10.009789063,0.478362463154717,107.14301704505297,106.46888526511461,101.95048383511238,97.47447155027149,27.008222637052622,27.48658510020734,104.33979985713094,106.03531883456829,97.34083034598832,101.88236608032155,92.60422268195738,104.30966904653371
2024-10-02 11:21:45.266258,57.771522720749935,12.743479597945766,-22.66932344606227,57.77143677710876,12.743546351145602,-23.147514021878322,-1.0743099474145197,0.491369879,10.009789063,0.47819057581605406,107.142459421337,106.4687317214088,101.95046435077974,97.47445489740846,27.008241735645626,27.48643231146168,104.33964335957079,106.03476688841734,97.34081371583122,101.88234655144184,92.604066759614,104.30911597185714
2024-10-02 11:21:45.299591,57.77152271790273,12.743479595109175,-22.670049192602665,57.77143677684515,12.7435463514967,-23.147938965576515,-1.0743099474145197,0.491369879,10.009789063,0.4778897729738496,107.1421081248318,106.46865881032335,101.95045526630787,97.47442005669069,27.007816791947434,27.485706564921284,104.33955641788405,106.03444256045358,97.34077836991011,101.88233845814395,92.60396701944276,104.30881675363398
2024-10-02 11:21:45.332924,57.771522717899806,12.743479596092234,-22.66878868545325,57.77143677614743,12.743546350605499,-23.146979261269664,-1.0743099474145197,0.491193626,10.009789063,0.4781905758164129,107.14214542248997,106.46861360793784,101.9503616907011,97.47441116442835,27.008776496254285,27.486967072070698,104.33953558465622,106.03443301812719,97.34077061862305,101.88224264404846,92.60397509092212,104.30875050292723
2024-10-02 11:21:45.366258,57.771522718215635,12.743479598293169,-22.671538882869942,57.771436775601266,12.743546349624767,-23.147437627505344,-1.0743099474145197,0.49084112,10.009789063,0.47589874463540127,107.14225643487077,106.46853536081458,101.95027762768886,97.47441716149501,27.008318130018605,27.484216874654006,104.33940416979026,106.03464622752915,97.34077607074163,101.88215965016278,92.60382987070439,104.30899079686833
2024-10-02 11:21:45.399591,57.771522715721474,12.74347959795665,-22.66646820638293,57.77143677504765,12.74354634843275,-23.14763816273398,-1.0743099474145197,0.49084112,10.009789063,0.4811699563510494,107.14203075189124,106.4683731612902,101.95018485884603,97.4744322983004,27.00811759478997,27.489287551141018,104.33934000210704,106.03423212077699,97.34079096913491,101.88206734906417,92.60375966324789,104.30858853963682
2024-10-02 11:21:45.432924,57.771522711306694,12.743479594366766,-22.66909426294397,57.77143677448404,12.743546347801901,-23.147246641573997,-1.0743099474145197,0.49084112,10.009789063,0.47815237863002835,107.14151692133763,106.46822310614287,101.95011267075103,97.47442103912867,27.008509115949952,27.48666149457998,104.33913917509203,106.03381587207339,97.34078017543595,101.88199424775502,92.60357062820972,104.30814915617452
